INCIDENTNEIGHBORHOOD,OFFENSES
Bedford Dwellings,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
East Allegheny,2701 Simple Assault.
Point Breeze,9999 9999 - (Misc. Incident): 
Hays,9496 Dead on Arrival (DOA)
Shadyside,5505 Public Drunkenness / 627.02(b)(i) Possessing a small amount of marijuana
Troy Hill,9496 Dead on Arrival (DOA)
Carrick,2701 Simple Assault. / 3304 Criminal Mischief.
Brighton Heights,2702 Aggravated Assault.
Fineview,9123 Miscellaneous Fire Other Investigation to Continue
Central Business District,3802(d)(2) DUI - Drug - Impaired Ability / 3743 Accidents Involving Damage to Attended Veh. or Property / 1543 Driving While Operating Privilege is Suspended or Revoked.
Beechview,9999 9999 - (Misc. Incident): 
Central Business District,3929 Retail Theft.
Upper Lawrenceville,2709(a) Harassment.
East Hills,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Summer Hill,"3925 Receiving Stolen Property. / 6106 Firearms not to be Carried without a License. / 3745 Accidents Involving Damage to Unattended Veh.or Prop. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)"
Brookline,2701 Simple Assault.
Allentown,9124 Drug Investigation
Carrick,9501 Bench Warrant
Crawford-Roberts,3304 Criminal Mischief.
South Side Slopes,9998 Overdose Other
Sheraden,9501 Bench Warrant
Brighton Heights,9498 302 (Mental)
Perry South,2702 Aggravated Assault. / 3112 Traffic-Control Signals. / 3308 One-Way Roadways and Rotary Traffic Islands. / 3323 Stop Signs and Yield Signs. / 3362 Maximum Speed Limits. / 3111 Obedience to Traffic-Control Devices. / 3323 Stop Signs and Yield Signs. / 3334 Turning Movements and Required Signals. / 3361  Driving Vehicle at Safe Speed. / 3736 Reckless Driving / 3733 Fleeing or Attempting to Elude Police Officer
California-Kirkbride,9489 Found Property
South Side Flats,3304 Criminal Mischief.
Bluff,9999 9999 - (Misc. Incident): 
Squirrel Hill North,4120 Identity Theft
Hazelwood,3304 Criminal Mischief.
Middle Hill,3921 Theft by Unlawful Taking or Disposition.
Manchester,3921 Theft by Unlawful Taking or Disposition.
West Oakland,3745 Accidents Involving Damage to Unattended Veh.or Prop.
East Allegheny,3929 Retail Theft.
Highland Park,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Marshall-Shadeland,2701(a)(3) Simple Assault - Attempts by Physical Menace 
East Hills,3701 Robbery. / 2702 Aggravated Assault. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3503 Criminal Trespass / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck
Polish Hill,3743 Accidents Involving Damage to Attended Veh. or Property
South Oakland,9498 302 (Mental)
Bluff,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
South Side Flats,9999 9999 - (Misc. Incident): 
South Side Flats,9129 Miscellaneous Investigation
Carrick,"3701 Robbery. / 3502 Burglary. / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 2701 Simple Assault. / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another"
West End,3745 Accidents Involving Damage to Unattended Veh.or Prop. / 9999 9999 - (Misc. Incident): 
Larimer,3921 Theft by Unlawful Taking or Disposition.
Sheraden,8106 Shots Fired
Central North Side,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Central Oakland,9489 Found Property
Brookline,3743 Accidents Involving Damage to Attended Veh. or Property
Garfield,13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 3353 Prohibitions in Specified Places.
St. Clair,9129 Miscellaneous Investigation
Homewood South,"3926(a)(1) Theft of Services; Cable, Gas, Taxi, Bill, Tab, etc."
Homewood South,9124 Drug Investigation
Marshall-Shadeland,9998 Overdose Other
Central North Side,3934 Theft from Vehicle
Shadyside,2709 Harassment (Non-Specific)
Homewood South,2706 Terroristic Threats.
Marshall-Shadeland,2709 Harassment (Non-Specific)
Greenfield,3304 Criminal Mischief.
Lower Lawrenceville,3921 Theft by Unlawful Taking or Disposition. / 3304 Criminal Mischief.
Squirrel Hill South,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
Perry South,2709 Harassment (Non-Specific)
Manchester,9999 9999 - (Misc. Incident): 
Central Business District,"5901 Open Lewdness. / 5505 Public Drunkenness / 5507 Obstructing Highways and Passages. / 601.11(a) Littering and Dumping; Any waste, dangerous or detrimental substance upon public property"
South Oakland,627.02(b)(i) Possessing a small amount of marijuana
Northview Heights,2709 Harassment (Non-Specific)
Squirrel Hill North,3304 Criminal Mischief.
Manchester,9489 Found Property
Mount Washington,9999 9999 - (Misc. Incident): 
Carrick,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake. / 4106 Access Device Fraud"
Knoxville,2709 Harassment (Non-Specific)
Strip District,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Squirrel Hill North,9999 9999 - (Misc. Incident): 
Bluff,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 5505 Public Drunkenness / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF"
East Allegheny,3745 Accidents Involving Damage to Unattended Veh.or Prop.
North Oakland,3309 Driving on Roadways Laned for Traffic. / 5104 Resisting Arrest or Other Law Enforcement. / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF / 5121 Escape. / 3112 Traffic-Control Signals.
Perry South,3921(a) Theft by Unlawful Taking or Disposition - Movable item
East Liberty,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Garfield,3304 Criminal Mischief.
Perry South,9496 Dead on Arrival (DOA)
Carrick,9993 PFA Service with Weapons Supplement
Homewood West,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Overbrook,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Beechview,3921 Theft by Unlawful Taking or Disposition.
Beltzhoover,3304 Criminal Mischief.
Middle Hill,9497 Aided Case
Marshall-Shadeland,2701 Simple Assault.
Brookline,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
East Hills,2709(a) Harassment. / 3304 Criminal Mischief.
Squirrel Hill South,3742 Accidents Involving Death or Personal Injury
Squirrel Hill South,2709(a)(4) Harassment Communicates Prohibited Acts
Knoxville,3304 Criminal Mischief.
Brighton Heights,9998 Overdose Other
Spring Hill-City View,"2705 Recklessly Endangering Another Person. / 6106 Firearms not to be Carried without a License. / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)"
Lincoln-Lemington-Belmar,9496 Dead on Arrival (DOA)
Point Breeze North,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Squirrel Hill South,3742 Accidents Involving Death or Personal Injury
Mount Washington,4912 Impersonating a Public Servant.
Mount Washington,7611(a)(1) Unlawful Use of a Computer
Upper Lawrenceville,2709 Harassment (Non-Specific)
Bloomfield,3304 Criminal Mischief.
Elliott,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
East Allegheny,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Greenfield,9496 Dead on Arrival (DOA)
Homewood South,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Beechview,9998 Overdose Other
Homewood North,3502 Burglary. / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
Allentown,029 Missing Juvenile
Sheraden,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
Bluff,9504 Lost Property
Beechview,2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2706 Terroristic Threats.
Central Business District,9999 9999 - (Misc. Incident): 
Central Business District,9490 Missing Persons (18 and Over)
Bluff,9999 9999 - (Misc. Incident): 
Crawford-Roberts,5503 Disorderly Conduct.
South Side Flats,9504 Lost Property
Morningside,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Squirrel Hill South,9999 9999 - (Misc. Incident): 
Shadyside,2709 Harassment (Non-Specific)
Lincoln-Lemington-Belmar,2709 Harassment (Non-Specific)
Shadyside,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Chartiers City,3921 Theft by Unlawful Taking or Disposition.
Central Business District,9497 Aided Case
Greenfield,2706 Terroristic Threats. / 2705 Recklessly Endangering Another Person. / 2701(a)(3) Simple Assault - Attempts by Physical Menace 
Stanton Heights,5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING
East Hills,2701 Simple Assault. / 13(a)(31) Marijuana: Possession Small Amount
Squirrel Hill South,9501 Bench Warrant
Central Business District,901 Criminal Attempt
Upper Lawrenceville,9015 Failure To Appear/Arrest on Attachment Order
Crafton Heights,3304 Criminal Mischief.
North Oakland,9016 Check on Elderly Person / 9999 9999 - (Misc. Incident): EMS forced entry to provide medical assistance
Mount Washington,3502 Burglary.
Hazelwood,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
Bloomfield,9123 Miscellaneous Fire Other Investigation to Continue
Squirrel Hill South,2701 Simple Assault.
Central Business District,"3701 Robbery. / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
Point Breeze,"5104 Resisting Arrest or Other Law Enforcement. / 6308 Investigation by Police Officers / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF / 5101 Obstructing Admin. of Law  / 3113 Pedestrian-Control Signals. / 3542 Right-Of-Way of Pedestrians in Crosswalks. / 5507(a) Obstructing highway, railroad or public passage"
Marshall-Shadeland,9497 Aided Case
St. Clair,3701 Robbery.
Fairywood,9012 Non-Violent Domestic / 9498 302 (Mental)
Squirrel Hill North,3921 Theft by Unlawful Taking or Disposition.
Carrick,9999 9999 - (Misc. Incident): 
Mount Washington,3745 Accidents Involving Damage to Unattended Veh.or Prop.
South Side Flats,1786 Required Financial Responsibility.
Squirrel Hill South,9999 9999 - (Misc. Incident): 
Brighton Heights,9501 Bench Warrant
East Liberty,029 Missing Juvenile
Greenfield,2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2706 Terroristic Threats. / 2705 Recklessly Endangering Another Person. / 9501 Bench Warrant
Banksville,2709(a) Harassment.
Spring Hill-City View,9999 9999 - (Misc. Incident): 
Squirrel Hill South,"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise"
Point Breeze North,"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise / 903 Criminal Conspiracy."
Swisshelm Park,9999 9999 - (Misc. Incident): 9999 - (Misc. Incident): 
Squirrel Hill South,3503(b)(1)(iii) Defiant Trespass - Fencing or Other Enclosure
Squirrel Hill South,3503(b)(1)(iii) Defiant Trespass - Fencing or Other Enclosure
Crafton Heights,3934 Theft from Vehicle
Garfield,3921 Theft by Unlawful Taking or Disposition.
Troy Hill,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Glen Hazel,3743 Accidents Involving Damage to Attended Veh. or Property
Brookline,9999 9999 - (Misc. Incident): 
Knoxville,3745 Accidents Involving Damage to Unattended Veh.or Prop.
South Side Flats,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Upper Hill,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake."
Central Business District,2706 Terroristic Threats. / 5104 Resisting Arrest or Other Law Enforcement. / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF
Overbrook,9998 Overdose Other
Terrace Village,2701 Simple Assault.
Highland Park,9497 Aided Case
East Allegheny,2709(a) Harassment.
Brookline,9496 Dead on Arrival (DOA)
Central North Side,9998 Overdose Other
Larimer,9498 302 (Mental)
South Side Flats,2709 Harassment (Non-Specific)
Greenfield,4106 Access Device Fraud
Central Business District,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF / 4914(A) False Identification to Law Enforcement
Homewood North,3743 Accidents Involving Damage to Attended Veh. or Property / 3324 Vehicle Entering or Crossing Roadway. / 3744 Duty to Give Information and Render Aid
Mount Washington,2702 Aggravated Assault. / 3502 Burglary. / 5104 Resisting Arrest or Other Law Enforcement. / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
East Allegheny,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Lincoln Place,3502 Burglary.
Bon Air,5503 Disorderly Conduct. / 5507 Obstructing Highways and Passages. / 602.04(b)(1) Panhandling-Hindrance to traffic
Carrick,9123 Miscellaneous Fire Other Investigation to Continue
Duquesne Heights,3921 Theft by Unlawful Taking or Disposition. / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2709(a)(3) Harassment No Legitimate Purpose / 5506 Loitering and Prowling at Night / 3503(b.1)(i) Simple Trespasser -- threatening or terrorizing the owner or occupant of the premises
Brookline,3922 Theft by Deception.
Squirrel Hill North,3934 Theft from Vehicle
Hays,2709(a) Harassment.
Highland Park,3743 Accidents Involving Damage to Attended Veh. or Property
Marshall-Shadeland,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Duquesne Heights,3503 Criminal Trespass
Hazelwood,9999 9999 - (Misc. Incident): sibling argument
Friendship,3929 Retail Theft.
Shadyside,3745 Accidents Involving Damage to Unattended Veh.or Prop.
East Allegheny,3921 Theft by Unlawful Taking or Disposition. / 3304 Criminal Mischief.
Larimer,3304 Criminal Mischief.
Perry North,3934 Theft from Vehicle
Central Business District,9490 Missing Persons (18 and Over)
Point Breeze,9094 Recovered Stolen Vehicle (OUTSIDE CITY)
Lincoln-Lemington-Belmar,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Allentown,3929 Retail Theft.
Brighton Heights,9999 9999 - (Misc. Incident): 
Greenfield,3921 Theft by Unlawful Taking or Disposition.
Bloomfield,3503 Criminal Trespass
Highland Park,9999 9999 - (Misc. Incident): 9999 - (Misc. Incident): Child Custody dispute
Allegheny West,9999 9999 - (Misc. Incident): 
Sheraden,9093 Indirect Criminal Contempt
East Hills,9497 Aided Case
Spring Hill-City View,3304 Criminal Mischief. / 3745 Accidents Involving Damage to Unattended Veh.or Prop. / 3744 Duty to Give Information and Render Aid / 4304(a)(1) Enhanced Endangering Welfare of Children - Course of Conduct
Central Business District,2701 Simple Assault.
Mount Washington,3921 Theft by Unlawful Taking or Disposition. / 2705 Recklessly Endangering Another Person.
Bedford Dwellings,9998 Overdose Other
Greenfield,3921 Theft by Unlawful Taking or Disposition.
Central North Side,7507.1 Invasion Privacy - Victim Full or Part Nude
North Oakland,3921 Theft by Unlawful Taking or Disposition.
Knoxville,3921 Theft by Unlawful Taking or Disposition.
North Oakland,3921 Theft by Unlawful Taking or Disposition.
Crawford-Roberts,2709 Harassment (Non-Specific)
Spring Hill-City View,9129 Miscellaneous Investigation
Perry South,9496 Dead on Arrival (DOA)
Perry South,9497 Aided Case
Perry South,9999 9999 - (Misc. Incident): 
Allentown,9501 Bench Warrant
Spring Hill-City View,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Lincoln-Lemington-Belmar,3929 Retail Theft.
Mount Washington,"3926(a)(1) Theft of Services; Cable, Gas, Taxi, Bill, Tab, etc."
Homewood South,3334 Turning Movements and Required Signals. / 3323 Stop Signs and Yield Signs.
Squirrel Hill South,3921 Theft by Unlawful Taking or Disposition.
Homewood North,2709 Harassment (Non-Specific)
Strip District,3921 Theft by Unlawful Taking or Disposition.
South Side Flats,3921 Theft by Unlawful Taking or Disposition. / 3304 Criminal Mischief.
Central Lawrenceville,2709(a) Harassment.
Northview Heights,9497 Aided Case
Perry South,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Garfield,9129 Miscellaneous Investigation
Central Lawrenceville,9498 302 (Mental)
Squirrel Hill South,9489 Found Property
Upper Lawrenceville,3304 Criminal Mischief.
Central Business District,9497 Aided Case
Perry North,3502 Burglary.
Highland Park,9497 Aided Case
Beechview,3502 Burglary.
East Hills,9498 302 (Mental)
Lincoln-Lemington-Belmar,9999 9999 - (Misc. Incident): residence ownership dispute
Central Business District,2709(a)(6) Harassment Communicates Repeatedly at Extreme Hours / 2709(b) Stalking
Central Business District,13(a)(16) Possession of Controlled Substance / 5123 Contraband.
Lincoln-Lemington-Belmar,3304 Criminal Mischief.
Windgap,2709(a) Harassment.
Sheraden,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Squirrel Hill South,2709(a) Harassment.
South Side Flats,3921 Theft by Unlawful Taking or Disposition.
Bluff,3304 Criminal Mischief.
Allegheny Center,2701 Simple Assault.
North Oakland,3743 Accidents Involving Damage to Attended Veh. or Property
North Oakland,3743 Accidents Involving Damage to Attended Veh. or Property
Homewood South,4120 Identity Theft
Perry North,3921 Theft by Unlawful Taking or Disposition.
Spring Hill-City View,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
Bedford Dwellings,4106 Access Device Fraud
Lower Lawrenceville,3921 Theft by Unlawful Taking or Disposition. / 4106 Access Device Fraud
Upper Hill,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
West Oakland,3502 Burglary. / 2701 Simple Assault.
Central Lawrenceville,9998 Overdose Other
North Shore,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Mount Washington,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Spring Hill-City View,9999 9999 - (Misc. Incident): 
Lincoln Place,13(a)(16) Possession of Controlled Substance
Mount Oliver,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
Point Breeze,3743 Accidents Involving Damage to Attended Veh. or Property
Upper Lawrenceville,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Friendship,3934 Theft from Vehicle
Marshall-Shadeland,2501 Criminal Homicide.
South Side Flats,4106 Access Device Fraud
Perry North,3934 Theft from Vehicle / 3922 Theft by Deception. / 3304 Criminal Mischief.
Homewood West,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Brookline,9504 Lost Property
Bon Air,9999 9999 - (Misc. Incident): Custody Dispute - CIVIL MATTER
Larimer,3921 Theft by Unlawful Taking or Disposition.
Knoxville,3934 Theft from Vehicle
Manchester,2709(a) Harassment.
Spring Hill-City View,9497 Aided Case / 9498 302 (Mental)
Marshall-Shadeland,9498 302 (Mental) / 9497 Aided Case
Squirrel Hill South,2709(a)(4) Harassment Communicates Prohibited Acts
East Hills,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Beltzhoover,9489 Found Property
Lincoln-Lemington-Belmar,9999 9999 - (Misc. Incident): 
North Oakland,9498 302 (Mental)
Arlington,9999 9999 - (Misc. Incident): 
Perry North,9497 Aided Case
West Oakland,"2702 Aggravated Assault. / 3502 Burglary. / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 2706 Terroristic Threats. / 907 Possessing Instruments of Crime."
North Shore,3304 Criminal Mischief. / 9130 Graffiti Investigation
Brighton Heights,9497 Aided Case
South Side Slopes,3301(d.1) Dangerous Burning
Bloomfield,3502 Burglary.
Allentown,2709(a) Harassment. / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION
Fineview,4106 Access Device Fraud
Crafton Heights,2709(a) Harassment.
Arlington,4106 Access Device Fraud
West Oakland,2709(a)(4) Harassment Communicates Prohibited Acts / 3503 Criminal Trespass
South Side Flats,9501 Bench Warrant
East Hills,3701 Robbery. / 2702 Aggravated Assault. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3503 Criminal Trespass / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck
Crawford-Roberts,029 Missing Juvenile
Upper Lawrenceville,3502 Burglary.
Summer Hill,4106 Access Device Fraud / 4912 Impersonating a Public Servant.
East Liberty,9017 Found Drugs
Highland Park,2706 Terroristic Threats.
Marshall-Shadeland,3743 Accidents Involving Damage to Attended Veh. or Property
Shadyside,3921 Theft by Unlawful Taking or Disposition.
Sheraden,8106 Shots Fired
Squirrel Hill South,"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise"
Homewood North,9123 Miscellaneous Fire Other Investigation to Continue
Sheraden,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Northview Heights,9999 9999 - (Misc. Incident): 
Central Business District,3502 Burglary.
Central Business District,"3701 Robbery. / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another"
Chateau,9126 Prostitution Investigation
Central Business District,3502 Burglary.
Crafton Heights,9999 9999 - (Misc. Incident): 
Homewood South,8106 Shots Fired
Homewood North,8106 Shots Fired
Upper Hill,9999 9999 - (Misc. Incident): 
Bedford Dwellings,9090 Recovered Firearm
Sheraden,9999 9999 - (Misc. Incident): 9999 - (Misc. Incident): Welfare Check
South Side Slopes,3502 Burglary.
Point Breeze North,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
Squirrel Hill North,3304 Criminal Mischief.
Regent Square,9496 Dead on Arrival (DOA)
Lincoln Place,9504 Lost Property
Upper Hill,3921 Theft by Unlawful Taking or Disposition.
Sheraden,"8106 Shots Fired / 607.03 Discharging Firearm or Airgun / 3304(a)(1) CRIMINAL MISCHIEF-Prop Damage By Fire, Explosives, or Other Dangerous Means"
Highland Park,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Greenfield,9490 Missing Persons (18 and Over)
North Oakland,9999 9999 - (Misc. Incident): Domestic
Shadyside,9998 Overdose Other
Brighton Heights,5505 Public Drunkenness
Point Breeze North,9999 9999 - (Misc. Incident): 
Brookline,9992 Governor's Order Violation
Crafton Heights,3743 Accidents Involving Damage to Attended Veh. or Property
Marshall-Shadeland,029 Missing Juvenile
North Shore,3304 Criminal Mischief.
Lincoln-Lemington-Belmar,3714 Careless Driving
East Liberty,3929 Retail Theft.
Sheraden,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck
Hazelwood,4120 Identity Theft
Highland Park,9999 9999 - (Misc. Incident): 
Point Breeze,9999 9999 - (Misc. Incident): 
South Side Flats,3304 Criminal Mischief.
East Allegheny,2709 Harassment (Non-Specific)
South Side Flats,9489 Found Property
Spring Hill-City View,3921 Theft by Unlawful Taking or Disposition.
Allentown,2707.1 Discharge of a Firearm into Occupied Structure / 2705 Recklessly Endangering Another Person. / 3304 Criminal Mischief.
Hazelwood,9999 9999 - (Misc. Incident): 9999 - (Misc. Incident): 
Squirrel Hill South,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Brighton Heights,3304 Criminal Mischief.
Morningside,9496 Dead on Arrival (DOA)
Chateau,9124 Drug Investigation
Bluff,9999 9999 - (Misc. Incident): 
Lower Lawrenceville,3304 Criminal Mischief.
Outside City,2709 Harassment (Non-Specific)
Highland Park,9018 Accidental Fire
Marshall-Shadeland,3701 Robbery.
Crawford-Roberts,8106 Shots Fired
Allentown,3929 Retail Theft.
Beltzhoover,4120 Identity Theft
East Liberty,9123 Miscellaneous Fire Other Investigation to Continue
,3126(a)(1) Indecent assault without consent
Chateau,9124 Drug Investigation
Central Business District,5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING / 9489 Found Property
Central Business District,3503 Criminal Trespass
Hazelwood,9999 9999 - (Misc. Incident): 
Squirrel Hill North,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Bloomfield,9999 9999 - (Misc. Incident): 
Brookline,3921 Theft by Unlawful Taking or Disposition. / 2709(a) Harassment.
Knoxville,9492 Dog Bite
Allentown,2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2709 Harassment (Non-Specific)
Marshall-Shadeland,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Perry South,3745 Accidents Involving Damage to Unattended Veh.or Prop.
California-Kirkbride,9124 Drug Investigation
Shadyside,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
South Side Flats,3929 Retail Theft.
South Side Flats,13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance
Bloomfield,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Bluff,2702 Aggravated Assault. / 2706 Terroristic Threats.
Stanton Heights,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Perry South,9018 Accidental Fire
Morningside,9496 Dead on Arrival (DOA)
East Liberty,9018 Accidental Fire
Point Breeze North,9497 Aided Case
Brookline,3502 Burglary.
South Side Slopes,9490 Missing Persons (18 and Over)
Greenfield,9123 Miscellaneous Fire Other Investigation to Continue
Shadyside,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Crafton Heights,9999 9999 - (Misc. Incident): 
Shadyside,9999 9999 - (Misc. Incident): 
Marshall-Shadeland,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
Brookline,4106 Access Device Fraud
Mount Washington,2702 Aggravated Assault. / 5104 Resisting Arrest or Other Law Enforcement. / 2705 Recklessly Endangering Another Person. / 13(a)(31) Marijuana: Possession Small Amount / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance / 5121 Escape. / 3361  Driving Vehicle at Safe Speed. / 3736 Reckless Driving / 4524 Windshield Obstructions and Wipers. / 3733 Fleeing or Attempting to Elude Police Officer
Homewood South,8106 Shots Fired
South Side Slopes,"2706 Terroristic Threats. / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
Sheraden,2701 Simple Assault.
Manchester,3921 Theft by Unlawful Taking or Disposition. / 3921 Theft by Unlawful Taking or Disposition. / 3304 Criminal Mischief.
Middle Hill,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3925 Receiving Stolen Property. / 13(a)(16) Possession of Controlled Substance
Morningside,9992 Governor's Order Violation
